date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:47	42600/42600	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.ttf	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.ttf	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:47	25020/25020	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/Roboto-Regular-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/Roboto-Regular-webfont.woff	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:48	20966/20966	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.eot	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.eot	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:49	71299/71299	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.svg	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.svg	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:50	24808/24808	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.woff	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:52	21712/21712	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.eot	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.eot	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:53	25268/25268	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.woff	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:54	74428/74428	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.svg	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.svg	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:56	45008/45008	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.ttf	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/Roboto-Bold-webfont.ttf	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:57	21712/21712	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.eot?	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfontd41d.eot	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
